"","id","Anderson","Baynes","Blair","Bonner","De","Diaw","Duncan","Ginobili","Green","Jackson","Joseph","Leonard","Mills","Neal","Parker","Splitter"
"36",30072,"0","0","0","9","0","29","34","0","32","24","0","34","6","17","35","15"
"48",30844,"0","0","10","8","0","35","33","0","34","27","0","32","2","16","34","4"
"38",30615,"0","0","0","18","3","26","31","15","32","15","0","32","0","12","32","19"
"39",30616,"0","0","29","16","3","18","25","17","25","23","0","24","3","19","25","5"
"62",31393,"0","0","16","10","6","24","22","19","23","22","0","22","9","18","24","18"
"63",31396,"0","0","19","0","0","28","31","25","22","0","0","31","21","19","24","16"
"49",31120,"0","0","0","2","5","14","31","28","32","30","0","22","23","31","0","18"
"50",31260,"0","0","12","0","0","14","36","18","30","23","0","26","5","7","34","29"
"65",31668,"0","0","8","0","0","15","31","26","30","26","0","33","15","0","36","16"
"66",31797,"0","0","22","8","16","29","22","23","25","27","0","0","20","0","25","18"
"51",31265,"0","0","17","10","5","16","34","27","34","10","0","0","9","22","32","16"
"40",30630,"0","0","19","0","11","22","32","23","38","0","0","0","0","28","36","25"
"41",30632,"0","0","14","8","5","25","31","28","34","0","0","0","5","28","37","21"
"42",30634,"0","0","16","5","6","33","41","36","48","0","0","0","5","29","46","21"
"67",32070,"7","0","16","16","15","22","23","20","16","0","9","0","20","26","22","23"
"37",30095,"4","0","23","6","15","21","27","23","31","0","6","0","0","32","29","16"
"70",32203,"19","0","18","29","33","38","0","0","0","0","14","0","23","32","0","29"
"64",31415,"0","0","17","19","5","14","40","35","19","0","0","0","8","40","43","19"
"43",30640,"11","0","12","23","17","21","26","24","0","0","10","0","0","31","35","24"
"52",31278,"14","0","20","9","20","16","23","19","17","0","8","0","18","25","25","19"
"46",30744,"14","0","0","20","25","23","23","18","24","0","12","0","15","19","25","16"
"76",32347,"0","0","18","2","9","24","32","36","42","0","0","0","1","35","42","18"
"68",32082,"0","0","12","6","5","23","33","28","30","0","2","0","6","34","35","20"
"77",32351,"0","0","9","4","5","20","29","30","28","0","0","0","12","32","37","28"
"53",31284,"5","0","0","14","20","21","31","4","34","0","0","0","11","31","36","28"
"69",32087,"16","0","15","11","23","23","23","0","19","19","0","0","12","28","25","21"
"71",32216,"0","0","0","4","6","25","40","29","23","22","0","0","17","13","35","23"
"54",31289,"0","0","0","3","13","25","32","24","23","17","0","20","0","21","31","26"
"72",32221,"0","0","12","10","13","19","23","21","22","21","0","26","12","8","28","21"
"47",30756,"0","0","9","11","18","22","27","26","20","24","0","24","5","0","29","20"
"78",32362,"0","0","0","0","4","20","34","23","27","27","0","26","11","0","38","26"
"81",32615,"0","0","4","3","3","18","28","25","26","26","0","28","14","0","33","27"
"44",30657,"0","0","12","21","22","16","24","20","15","25","0","22","12","0","25","22"
"55",31297,"0","0","4","7","1","22","34","27","29","20","0","23","1","12","35","18"
"1",27195,"0","0","0","13","9","25","23","23","21","2","0","30","15","23","23","27"
"79",32367,"0","0","7","14","10","15","25","26","26","0","0","27","5","25","29","28"
"45",30663,"0","0","0","8","1","20","25","24","19","18","0","31","1","28","32","26"
"82",32623,"0","0","0","0","0","26","29","28","17","18","0","33","0","17","34","34"
"2",27206,"0","0","0","4","0","25","38","35","18","19","0","38","5","5","42","30"
"73",32237,"0","0","9","0","2","18","29","12","20","28","0","29","19","21","28","19"
"56",31310,"0","0","2","3","4","28","31","0","20","23","2","23","13","23","34","28"
"3",27220,"0","0","0","6","4","22","31","0","29","20","0","27","5","20","36","35"
"4",27221,"0","0","19","23","14","24","0","0","34","8","0","33","0","19","33","28"
"5",27223,"0","0","0","9","13","17","34","0","28","14","0","34","0","23","34","29"
"74",32245,"0","0","6","20","14","27","0","16","28","28","0","0","0","27","36","32"
"6",27231,"0","0","18","17","9","29","0","8","26","11","0","28","0","29","29","29"
"7",27347,"0","0","17","20","0","26","0","21","16","26","0","29","4","13","33","30"
"80",32387,"0","17","0","0","14","26","0","21","29","20","0","33","2","11","32","30"
"8",27493,"0","0","13","13","10","24","13","0","32","13","0","33","6","15","33","29"
"75",32257,"0","10","10","23","12","25","0","0","32","16","0","31","1","14","35","24"
"9",27609,"0","1","15","18","5","23","0","0","30","22","0","26","7","26","35","28"
"10",27756,"0","3","8","23","12","28","0","0","28","19","0","25","3","19","35","31"
"12",28138,"0","0","6","19","33","35","0","0","37","0","0","43","5","23","0","33"
"11",28034,"0","0","18","8","11","18","25","9","28","0","0","32","0","25","33","26"
"14",28406,"0","0","5","11","9","27","28","18","31","0","0","30","3","17","35","20"
"57",31343,"0","7","11","13","19","22","15","17","27","19","0","0","10","25","28","20"
"30",29108,"0","0","3","11","5","17","38","26","38","0","0","38","9","9","40","25"
"18",28551,"0","2","0","16","27","21","27","24","22","14","0","33","22","0","0","27"
"58",31350,"0","0","21","0","6","17","35","29","26","7","0","42","7","0","39","31"
"15",28413,"0","5","23","23","11","0","25","22","24","0","10","29","14","0","25","22"
"27",28813,"0","12","19","6","13","0","26","22","21","25","17","26","16","8","0","23"
"59",31356,"0","0","7","8","1","12","32","26","23","16","24","32","22","0","0","32"
"19",28701,"0","0","8","14","4","15","23","23","24","20","26","32","18","4","0","26"
"20",28704,"0","0","4","0","0","18","35","24","27","16","18","35","0","25","0","33"
"29",28957,"0","9","16","18","20","23","0","21","24","26","25","0","24","7","0","22"
"21",28709,"0","0","5","0","0","22","35","28","33","10","13","33","0","24","0","31"
"13",28295,"0","0","6","0","24","23","34","26","26","18","18","32","0","2","0","27"
"32",29519,"0","0","0","10","24","21","31","28","28","15","15","32","0","0","0","31"
"31",29129,"0","0","4","8","8","18","37","27","34","7","4","42","0","0","36","32"
"22",28725,"0","0","0","2","13","22","34","27","31","16","0","30","0","0","34","27"
"60",31372,"0","0","6","0","0","18","35","27","32","6","12","38","0","0","35","26"
"23",28732,"0","0","0","9","11","23","32","2","27","14","0","32","0","19","36","30"
"24",28735,"0","0","0","7","11","18","35","0","31","14","0","37","0","18","36","28"
"34",29778,"0","0","20","18","16","31","0","0","32","34","0","0","0","27","33","25"
"33",29653,"0","17","0","22","28","24","13","0","27","19","12","0","24","31","0","16"
"35",29915,"0","0","0","0","22","28","35","0","29","0","0","41","0","28","25","29"
"25",28744,"0","0","22","15","21","9","32","0","19","18","31","39","0","13","0","16"
"26",28750,"0","6","24","14","21","0","26","0","24","0","26","29","20","23","0","22"
"16",28447,"0","0","14","15","13","0","34","0","32","0","0","35","0","28","34","31"
"61",31382,"0","0","13","22","8","0","33","0","36","0","7","33","0","27","28","29"
"17",28451,"0","30","31","30","28","0","0","0","19","0","32","0","22","26","0","18"
"28",28850,"0","13","29","25","12","0","27","11","15","0","21","26","8","21","26","0"
"83",29151,"0","0","2","29","1","0","34","18","25","0","10","35","0","15","37","28"
"84",29544,"0","1","8","29","0","0","34","19","20","0","11","39","0","19","36","20"
"98",29796,"0","4","14","22","3","0","31","20","23","0","16","27","3","21","27","21"
"85",29548,"0","16","18","21","4","0","29","20","23","0","18","32","3","20","26","0"
"99",29806,"0","0","5","18","0","25","34","36","44","0","10","41","0","26","47","0"
"86",29553,"0","0","0","16","0","7","37","27","31","0","4","43","0","20","39","9"
"100",30188,"0","0","0","6","0","20","38","27","33","0","7","41","0","10","35","18"
"87",29556,"0","0","0","3","0","12","42","36","39","0","8","45","0","17","40","18"
"88",29558,"0","0","2","6","0","21","30","24","31","0","13","37","2","4","34","25"
"89",29560,"0","0","0","6","0","19","31","24","33","0","9","34","0","12","36","31"
"90",29562,"0","0","5","16","0","21","27","21","25","0","11","29","5","18","32","16"
"91",29563,"0","0","0","27","0","11","31","29","27","0","9","40","0","12","41","33"
"92",29566,"0","0","0","16","0","18","44","29","33","0","8","34","0","12","43","24"
"93",29568,"0","0","0","10","0","19","34","25","27","0","7","38","0","6","39","29"
"94",29573,"0","0","0","7","0","8","36","29","34","0","2","35","0","21","39","24"
"95",29574,"0","0","7","7","0","10","30","17","30","0","9","33","7","21","33","22"
"96",29575,"0","0","5","12","0","0","28","23","30","0","20","29","5","25","27","23"
"97",29576,"0","0","3","7","3","11","32","25","35","0","9","33","0","30","31","13"
"101",29577,"0","0","0","1","1","27","37","33","39","0","1","32","0","20","35","10"
"102",29578,"0","0","0","0","0","23","44","34","41","0","0","45","0","24","42","8"
"103",29579,"0","0","0","0","0","12","43","35","36","0","0","45","0","26","36","4"
